index,Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
289,2018/2019,AR,Fencing,0.0,0.0,0.0,0.0
290,2018/2019,AR,Field Hockey,0.0,0.0,0.0,0.0
291,2018/2019,AR,Figure Skating,0.0,0.0,0.0,0.0
292,2018/2019,AR,Flag Football,0.0,0.0,0.0,0.0
293,2018/2019,AR,Football -- 11-Player,201.0,7.0,10255.0,7.0
294,2018/2019,AR,Football -- 6-player,0.0,0.0,0.0,0.0
295,2018/2019,AR,Football -- 8-player,5.0,1.0,119.0,1.0
296,2018/2019,AR,Football -- 9-player,0.0,0.0,0.0,0.0
297,2018/2019,AR,Golf,214.0,177.0,1211.0,697.0
298,2018/2019,AR,Gymnastics,0.0,3.0,0.0,25.0
299,2018/2019,AR,Heptathlon,2.0,26.0,3.0,53.0
300,2018/2019,AR,Ice Hockey,0.0,0.0,0.0,0.0
301,2018/2019,AR,Judo,0.0,0.0,0.0,0.0
302,2018/2019,AR,Kayaking,0.0,0.0,0.0,0.0
303,2018/2019,AR,Lacrosse,5.0,4.0,100.0,50.0
304,2018/2019,AR,Martial Arts,0.0,0.0,0.0,0.0
305,2018/2019,AR,Mixed 6-Coed Volleyball,0.0,0.0,0.0,0.0
306,2018/2019,AR,Mt. Biking,0.0,0.0,0.0,0.0
307,2018/2019,AR,Native Youth Olympics,0.0,0.0,0.0,0.0
308,2018/2019,AR,Riflery,4.0,3.0,16.0,14.0
309,2018/2019,AR,Rock Climbing,0.0,0.0,0.0,0.0
310,2018/2019,AR,Rodeo,4.0,6.0,55.0,24.0
311,2018/2019,AR,Roller Hockey,0.0,0.0,0.0,0.0
312,2018/2019,AR,Rugby,0.0,0.0,0.0,0.0
313,2018/2019,AR,Rythmic Gymnastics,0.0,0.0,0.0,0.0
314,2018/2019,AR,Sailing,0.0,0.0,0.0,0.0
315,2018/2019,AR,Sand Volleyball,0.0,0.0,0.0,0.0
316,2018/2019,AR,Skiing -- Alpine,0.0,0.0,0.0,0.0
317,2018/2019,AR,Skiing -- Cross Country,0.0,0.0,0.0,0.0
318,2018/2019,AR,Snowboarding,0.0,0.0,0.0,0.0
319,2018/2019,AR,Soccer,107.0,103.0,3038.0,2461.0
320,2018/2019,AR,Softball -- Fast Pitch,0.0,249.0,0.0,4392.0
321,2018/2019,AR,Softball -- Slow Pitch,0.0,0.0,0.0,0.0
322,2018/2019,AR,Soft Tennis,0.0,0.0,0.0,0.0
323,2018/2019,AR,Squash,0.0,0.0,0.0,0.0
324,2018/2019,AR,Surfing,0.0,0.0,0.0,0.0
325,2018/2019,AR,Swimming & Diving,56.0,56.0,532.0,572.0
326,2018/2019,AR,Synchronized Swimming,0.0,0.0,0.0,0.0
327,2018/2019,AR,Team Tennis,0.0,0.0,0.0,0.0
328,2018/2019,AR,Tennis,121.0,120.0,946.0,1062.0
329,2018/2019,AR,Track and Field -- Indoor,63.0,57.0,1151.0,808.0
330,2018/2019,AR,Track and Field -- Outdoor,238.0,233.0,8363.0,3361.0
331,2018/2019,AR,Trap Shooting,93.0,77.0,1330.0,328.0
332,2018/2019,AR,Ultimate Frisbee,0.0,0.0,0.0,0.0
333,2018/2019,AR,Unified Flag Football,0.0,0.0,0.0,0.0
334,2018/2019,AR,Unified Track and Field -- Outdoor,2.0,3.0,34.0,54.0
335,2018/2019,AR,Volleyball,0.0,141.0,0.0,2923.0
336,2018/2019,AR,Water Polo,0.0,0.0,0.0,0.0
337,2018/2019,AR,Weight Lifting,30.0,0.0,538.0,0.0
338,2018/2019,AR,Wrestling,52.0,23.0,1137.0,54.0
339,2018/2019,CA,Adapted Basketball,0.0,0.0,0.0,0.0
340,2018/2019,CA,Adapted Bocce - Indoor,0.0,0.0,0.0,0.0
341,2018/2019,CA,Adapted Bowling,0.0,1.0,0.0,2.0
342,2018/2019,CA,Adapted Floor Hockey,0.0,0.0,0.0,0.0
343,2018/2019,CA,Adapted Football,0.0,0.0,0.0,0.0
344,2018/2019,CA,Adapted Soccer,4.0,3.0,70.0,40.0
345,2018/2019,CA,Adapted Softball,1.0,1.0,30.0,10.0
346,2018/2019,CA,Adapted Track,11.0,10.0,102.0,30.0
347,2018/2019,CA,Adapted Volleyball,0.0,0.0,0.0,0.0
348,2018/2019,CA,Adaptive Corn Toss,0.0,0.0,0.0,0.0
349,2018/2019,CA,Adaptive Golf,0.0,0.0,0.0,0.0
350,2018/2019,CA,Adaptive Handball,0.0,0.0,0.0,0.0
351,2018/2019,CA,Adaptive Strength Training,0.0,0.0,0.0,0.0
352,2018/2019,CA,Adaptive Tennis,0.0,0.0,0.0,0.0
353,2018/2019,CA,Air Riflery,0.0,0.0,0.0,0.0
354,2018/2019,CA,Archery,9.0,8.0,135.0,144.0
355,2018/2019,CA,Badminton,196.0,228.0,3830.0,5026.0
356,2018/2019,CA,Baseball,1294.0,79.0,44347.0,418.0
357,2018/2019,CA,Basketball,1515.0,1464.0,48111.0,35902.0
358,2018/2019,CA,Bass Fishing,0.0,0.0,0.0,0.0
359,2018/2019,CA,Beach Volleyball,0.0,0.0,0.0,0.0
360,2018/2019,CA,Bocce - Outdoor,0.0,0.0,0.0,0.0
361,2018/2019,CA,Bowling,2.0,2.0,17.0,8.0
362,2018/2019,CA,Canoe Paddling,0.0,0.0,0.0,0.0
363,2018/2019,CA,Competitive Spirit* (Boys who cheer/Girls who cheer),259.0,628.0,880.0,15705.0
364,2018/2019,CA,Crew,3.0,5.0,167.0,240.0
365,2018/2019,CA,Cross Country,1354.0,1336.0,31880.0,24208.0
366,2018/2019,CA,Cycling,0.0,0.0,0.0,0.0
367,2018/2019,CA,Dance,0.0,0.0,0.0,0.0
368,2018/2019,CA,Dance/Drill,0.0,0.0,0.0,0.0
369,2018/2019,CA,"Dance Team, High Kick",0.0,0.0,0.0,0.0
370,2018/2019,CA,"Dance Team, Jazz",0.0,0.0,0.0,0.0
371,2018/2019,CA,Decathlon,17.0,15.0,178.0,149.0
372,2018/2019,CA,Drill Team,0.0,0.0,0.0,0.0
373,2018/2019,CA,Equestrian,2.0,35.0,19.0,309.0
374,2018/2019,CA,Fencing,13.0,13.0,149.0,97.0
375,2018/2019,CA,Field Hockey,4.0,115.0,150.0,4058.0
376,2018/2019,CA,Figure Skating,0.0,0.0,0.0,0.0
377,2018/2019,CA,Flag Football,25.0,30.0,406.0,660.0
378,2018/2019,CA,Football -- 11-Player,1069.0,270.0,91305.0,593.0
379,2018/2019,CA,Football -- 6-player,7.0,1.0,1.0,16.0
380,2018/2019,CA,Football -- 8-player,105.0,9.0,2068.0,17.0
381,2018/2019,CA,Football -- 9-player,0.0,0.0,0.0,0.0
